Ignore mate,gnome,e17 and games packages.

Version bumps for new versions and if there is no new version
then rebuild.

İsim: acct, sürüm: 6.5.5, yayım: 1 (problems with rebuild)(problems with rebuild)
İsim: aeidon, sürüm: 0.19.2, yayım: 1(python error)
İsim: artha, sürüm: 1.0.2, yayım: 1(problems with gio create patch but build not)
İsim: asciidoc, sürüm: 8.6.8, yayım: 1(problems with building)(problems with rebuild)
İsim: b43-fwcutter, sürüm: 015, yayım: 1(problems with building)(problems with rebuild)
İsim: c-ares, sürüm: 1.9.1, yayım: 1(could not version bump ccflag error)
İsim: c-ares-devel, sürüm: 1.9.1, yayım: 1(could not version bump ccflag error)
İsim: c-ares-docs, sürüm: 1.9.1, yayım: 1(could not version bump ccflag error)
İsim: cakephp, sürüm: 1.3.13, yayım: 1(pisi source)
İsim: coolreader, sürüm: 3.0.56, yayım: 18 (problems with building)(yeniden sorunlar)
İsim: crypto++, sürüm: 5.6.1, yayım: 1(problems with building)(yeniden sorunlar)
İsim: crypto++-devel, sürüm: 5.6.1, yayım: 1(problems with building)(yeniden sorunlar)
İsim: dvdrip-queue, sürüm: 0.1.3, yayım: 1(python error)
İsim: dvipdfm, sürüm: 0.13.2d, yayım: 1(problems with building)(yeniden sorunlar)
İsim: dvipng, sürüm: 1.14, yayım: 1(problems with building)(yeniden sorunlar)
İsim: dvipost, sürüm: 1.1, yayım: 1(problems with building)(yeniden sorunlar)
İsim: emacs-emms, sürüm: 3.0, yayım: 1(problems with building)(yeniden sorunlar)
İsim: exaile, sürüm: 0.3.2.2, yayım: 1(rebuild older version new version failed for build)
İsim: gaupol, sürüm: 0.19.2, yayım: 1(python error)
İsim: latex-envlab, sürüm: 1.2, yayım: 1(could not build)
İsim: latex-leaflet, sürüm: 20041222, yayım: 1(could not build)
İsim: lbreakout2, sürüm: 2.6.4, yayım: 1(game)
İsim: libcdaudio, sürüm: 0.99.12, yayım: 1(could not build)
İsim: libcdaudio-devel, sürüm: 0.99.12, yayım: 1
İsim: libmcs, sürüm: 0.7.2, yayım: 1(could not build)
İsim: libmcs-devel, sürüm: 0.7.2, yayım: 1(could not build)
İsim: libmemcache, sürüm: 1.4.0_rc2, yayım: 1(system)
İsim: libmemcache-devel, sürüm: 1.4.0_rc2, yayım: 1(system)
İsim: libmowgli, sürüm: 0.9.50, yayım: 1(system)
İsim: libmowgli-devel, sürüm: 0.9.50, yayım: 1(system)
İsim: libnet, sürüm: 1.1.6, yayım: 1(system)
İsim: libnet-devel, sürüm: 1.1.6, yayım: 1(system)
İsim: libnetfilter-cthelper, sürüm: 1.0.0, yayım: 1(system)
İsim: libnetfilter-cthelper-devel, sürüm: 1.0.0, yayım: 1(system)
İsim: libnetfilter_queue, sürüm: 1.0.2, yayım: 1(system)
İsim: libnetfilter_queue-devel, sürüm: 1.0.2, yayım: 1(system)
İsim: libnfnetlink, sürüm: 1.0.1, yayım: 1(system)
İsim: libnfnetlink-devel, sürüm: 1.0.1, yayım: 1(system)
İsim: libnids, sürüm: 1.24, yayım: 1
İsim: libnids-devel, sürüm: 1.24, yayım: 1
İsim: libnjb, sürüm: 2.2.7, yayım: 1
İsim: libnjb-devel, sürüm: 2.2.7, yayım: 1
İsim: libnl1, sürüm: 1.1.3, yayım: 1
İsim: libnl1-devel, sürüm: 1.1.3, yayım: 1
İsim: libnova, sürüm: 0.14.0, yayım: 1
İsim: libnova-devel, sürüm: 0.14.0, yayım: 1
İsim: libnut, sürüm: 0.0_661, yayım: 1
İsim: libnut-devel, sürüm: 0.0_661, yayım: 1
İsim: libofa, sürüm: 0.9.3, yayım: 1
İsim: libofa-devel, sürüm: 0.9.3, yayım: 1
İsim: liboil, sürüm: 0.3.17, yayım: 1
