date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:50	5177/5177	---M--	200	added ('OK')	text/html	etag:%2296c1ee-1439-4b031c7370340%22	http://developer.pardus.org.tr/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/index.html	(from )
00:28:50	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Oct%202014%2013:28:52%20GMT	http://developer.pardus.org.tr/robots.txt		(from )
00:28:51	11516/11516	---M--	200	added ('OK')	text/css	etag:%2296c213-2cfc-4b031c7464580%22	http://developer.pardus.org.tr/_static/default.css	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/default.css	(from http://developer.pardus.org.tr/index.html)
00:28:51	3224/3224	---M--	200	added ('OK')	text/css	etag:%2210b0001-c98-4b031c7370340%22	http://developer.pardus.org.tr/_static/pygments.css	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/pygments.css	(from http://developer.pardus.org.tr/index.html)
00:28:51	55774/55774	---M--	200	added ('OK')	application/x-javascript	etag:%2210b0003-d9de-4b031c7370340%22	http://developer.pardus.org.tr/_static/jquery.js	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/jquery.js	(from http://developer.pardus.org.tr/index.html)
00:28:53	6620/6620	---M--	200	added ('OK')	application/x-javascript	etag:%2296c210-19dc-4b031c7370340%22	http://developer.pardus.org.tr/_static/doctools.js	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/doctools.js	(from http://developer.pardus.org.tr/index.html)
00:28:53	2262/2262	---M--	200	added ('OK')	text/html	etag:%2296c1ec-8d6-4b031c7370340%22	http://developer.pardus.org.tr/genindex.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/genindex.html	(from http://developer.pardus.org.tr/index.html)
00:28:54	2516/2516	---M--	200	added ('OK')	text/html	etag:%2296c1ed-9d4-4b031c7370340%22	http://developer.pardus.org.tr/search.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/search.html	(from http://developer.pardus.org.tr/index.html)
00:28:54	7934/7934	---M--	200	added ('OK')	image/png	etag:%2296c2d3-1efe-468d0ceb07640%22	http://developer.pardus.org.tr/_static/icons/pardus_logo.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/icons/pardus_logo.png	(from http://developer.pardus.org.tr/index.html)
00:28:54	5140/5140	---M--	200	added ('OK')	image/png	etag:%2296c2c8-1414-4b031c7464580%22	http://developer.pardus.org.tr/_static/releases.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/releases.png	(from http://developer.pardus.org.tr/index.html)
00:28:54	2932/2932	---M--	200	added ('OK')	text/html	etag:%2210a2001-b74-4b031c7370340%22	http://developer.pardus.org.tr/releases/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/releases/index.html	(from http://developer.pardus.org.tr/index.html)
00:28:54	4837/4837	---M--	200	added ('OK')	image/png	etag:%2296c2d6-12e5-4b031c7464580%22	http://developer.pardus.org.tr/_static/projects.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/projects.png	(from http://developer.pardus.org.tr/index.html)
00:28:54	4902/4902	---M--	200	added ('OK')	text/html	etag:%22862005-1326-4b031c7093c80%22	http://developer.pardus.org.tr/projects/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/projects/index.html	(from http://developer.pardus.org.tr/index.html)
00:28:55	5423/5423	---M--	200	added ('OK')	image/png	etag:%2296c2c9-152f-4b031c7464580%22	http://developer.pardus.org.tr/_static/guides.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/guides.png	(from http://developer.pardus.org.tr/index.html)
00:28:55	10301/10301	---M--	200	added ('OK')	text/html	etag:%2216c0001-283d-4b031c642df40%22	http://developer.pardus.org.tr/guides/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/guides/index.html	(from http://developer.pardus.org.tr/index.html)
00:28:55	5426/5426	---M--	200	added ('OK')	image/png	etag:%2296c2d9-1532-4b031c7464580%22	http://developer.pardus.org.tr/_static/events.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/events.png	(from http://developer.pardus.org.tr/index.html)
00:28:56	2860/2860	---M--	200	added ('OK')	text/html	etag:%22730002-b2c-4b031c605d640%22	http://developer.pardus.org.tr/events/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/events/index.html	(from http://developer.pardus.org.tr/index.html)
00:28:56	9761/9761	---M--	200	added ('OK')	image/png	etag:%2296c2da-2621-4b031c7464580%22	http://developer.pardus.org.tr/_static/planet.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/planet.png	(from http://developer.pardus.org.tr/index.html)
00:28:56	3279/3279	---M--	200	added ('OK')	image/png	etag:%2296c2cc-ccf-468d0ceb07640%22	http://developer.pardus.org.tr/_static/icons/browse.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/icons/browse.png	(from http://developer.pardus.org.tr/index.html)
00:28:56	299/299	---M--	200	added ('OK')	image/png	etag:%2296c2d5-12b-4b031c7464580%22	http://developer.pardus.org.tr/_static/head.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/head.png	(from http://developer.pardus.org.tr/_static/default.css)
00:28:57	392/392	---M--	200	added ('OK')	image/png	etag:%2210b0002-188-4b031c7370340%22	http://developer.pardus.org.tr/_static/file.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/file.png	(from http://developer.pardus.org.tr/_static/default.css)
00:28:58	207/207	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Oct%202014%2013:28:59%20GMT	http://developer.pardus.org.tr/minus.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/minus.png	(from http://developer.pardus.org.tr/_static/doctools.js)
00:28:58	5177/5177	---M--	200	added ('OK')	text/html	etag:%2296c1ee-1439-4b031c7370340%22	http://developer.pardus.org.tr/	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/index-2.html	(from http://developer.pardus.org.tr/_static/doctools.js)
00:28:58	12602/12602	---M--	200	added ('OK')	application/x-javascript	etag:%2296c209-313a-4b031c7370340%22	http://developer.pardus.org.tr/_static/searchtools.js	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/searchtools.js	(from http://developer.pardus.org.tr/search.html)
00:28:58	108155/108155	---M--	200	added ('OK')	application/x-javascript	etag:%2296c2db-1a67b-4b031c7464580%22	http://developer.pardus.org.tr/searchindex.js	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/searchindex.js	(from http://developer.pardus.org.tr/search.html)
00:28:59	3187/3187	---M--	200	added ('OK')	text/html	etag:%2296c1e4-c73-4b031c727c100%22	http://developer.pardus.org.tr/releases/2011/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/releases/2011/index.html	(from http://developer.pardus.org.tr/releases/index.html)
00:28:59	3227/3227	---M--	200	added ('OK')	text/html	etag:%226e805e-c9b-4b031c6339d00%22	http://developer.pardus.org.tr/guides/communication/irc_channels.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/guides/communication/irc_channels.html	(from http://developer.pardus.org.tr/releases/index.html)
00:29:00	3930/3930	---M--	200	added ('OK')	text/html	etag:%2296c1e8-f5a-4b031c727c100%22	http://developer.pardus.org.tr/releases/corporate/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/releases/corporate/index.html	(from http://developer.pardus.org.tr/releases/index.html)
00:29:00	5170/5170	---M--	200	added ('OK')	text/html	etag:%22862002-1432-4b031c6f9fa40%22	http://developer.pardus.org.tr/projects/comar/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/projects/comar/index.html	(from http://developer.pardus.org.tr/projects/index.html)
00:29:01	200029/200029	---M--	200	added ('OK')	text/html	etag:%22e24001-30d5d-4b031c5f69400%22	http://developer.pardus.org.tr/contents.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/contents.html	(from http://developer.pardus.org.tr/projects/index.html)
00:29:02	57843/57843	---M--	200	added ('OK')	image/png	etag:%2296c2ca-e1f3-4b031c7464580%22	http://developer.pardus.org.tr/_static/logo.png	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/_static/logo.png	(from http://developer.pardus.org.tr/_static/default.css)
00:29:02	4729/4729	---M--	200	added ('OK')	text/html	etag:%2296c1d9-1279-4b031c7187ec0%22	http://developer.pardus.org.tr/projects/pisi/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/projects/pisi/index.html	(from http://developer.pardus.org.tr/projects/index.html)
00:29:02	9344/9344	---M--	200	added ('OK')	text/html	etag:%2296c1e2-2480-4b031c727c100%22	http://developer.pardus.org.tr/projects/yali/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/projects/yali/index.html	(from http://developer.pardus.org.tr/projects/index.html)
00:29:02	7705/7705	---M--	200	added ('OK')	text/html	etag:%228ee001-1e19-4b031c7093c80%22	http://developer.pardus.org.tr/projects/kaptan/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/projects/kaptan/index.html	(from http://developer.pardus.org.tr/projects/index.html)
00:29:03	4551/4551	---M--	200	added ('OK')	text/html	etag:%2296c1d7-11c7-4b031c7187ec0%22	http://developer.pardus.org.tr/projects/pardusman/index.html	http://developer.pardus.org.tr/index.html/pisi-develop/developer.pardus.org.tr/projects/pardusman/index.html	(from http://developer.pardus.org.tr/projects/index.html)
